,,,
,,Time,Reaction
,,,
,,0,0
,,0.0166666667,-0.000169519
,,0.0333333333,-0.0009814801
,,0.05,-0.0032441324
,,0.0666666667,-0.0079655843
,,0.0833333333,-0.0160115202
,,0.1,-0.027846509
,,0.1166666667,-0.0434257591
,,0.1333333333,-0.0622507961
,,0.15,-0.0835519075
,,0.1666666667,-0.106527024
,,0.1833333333,-0.130558709
,,0.2,-0.1553473216
,,0.2166666667,-0.1809312461
,,0.2333333333,-0.2076024621
,,0.25,-0.2357559443
,,0.2666666667,-0.2657262949
,,0.2833333333,-0.2976621075
,,0.3,-0.3314709424
,,0.3166666667,-0.3668425716
,,0.3333333333,-0.4033338206
,,0.35,-0.4404820386
,,0.3666666667,-0.477909827
,,0.3833333333,-0.5153909699
,,0.4,-0.5528628729
,,0.4166666667,-0.5903886379
,,0.4333333333,-0.6280865431
,,0.45,-0.6660521912
,,0.4666666667,-0.7042976011
,,0.4833333333,-0.7427233959
,,0.5,-0.7811283288
,,0.5166666667,-0.8192487
,,0.5333333333,-0.8568122254
,,0.55,-0.8935885444
,,0.5666666667,-0.9294217927
,,0.5833333333,-0.9642378511
,,0.6,-0.9980273698
,,0.6166666667,-1.0308127558
,,0.6333333333,-1.062611066
,,0.65,-1.0934044637
,,0.6666666667,-1.1231261661
,,0.6833333333,-1.1516641823
,,0.7,-1.1788795355
,,0.7166666667,-1.2046317489
,,0.7333333333,-1.2288031085
,,0.75,-1.2513146459
,,0.7666666667,-1.2721301366
,,0.7833333333,-1.2912484501
,,0.8,-1.3086880184
,,0.8166666667,-1.3244690639
,,0.8333333333,-1.3385991799
,,0.85,-1.3510661511
,,0.8666666667,-1.3618392402
,,0.8833333333,-1.3708774852
,,0.9,-1.3781416316
,,0.9166666667,-1.3836056629
,,0.9333333333,-1.3872645134
,,0.95,-1.3891361121
,,0.9666666667,-1.3892578308
,,0.9833333333,-1.3876790632
,,1,-1.3844525982
,,1.0166666667,-1.3796274709
,,1.0333333333,-1.3732451927
,,1.05,-1.3653400092
,,1.0666666667,-1.3559425487
,,1.0833333333,-1.3450852873
,,1.1,-1.3328079105
,,1.1166666667,-1.3191609206
,,1.1333333333,-1.3042065683
,,1.15,-1.2880170994
,,1.1666666667,-1.2706711102
,,1.1833333333,-1.2522492647
,,1.2,-1.2328306627
,,1.2166666667,-1.2124907867
,,1.2333333333,-1.1913013675
,,1.25,-1.1693318934
,,1.2666666667,-1.1466520285
,,1.2833333333,-1.1233340287
,,1.3,-1.0994543593
,,1.3166666667,-1.0750940538
,,1.3333333333,-1.0503377935
,,1.35,-1.0252720654
,,1.3666666667,-0.9999829949
,,1.3833333333,-0.9745544654
,,1.4,-0.9490669818
,,1.4166666667,-0.9235974525
,,1.4333333333,-0.8982197726
,,1.45,-0.8730058663
,,1.4666666667,-0.8480267571
,,1.4833333333,-0.8233532795
,,1.5,-0.7990562065
,,1.5166666667,-0.7752057713
,,1.5333333333,-0.7518707484
,,1.55,-0.7291173715
,,1.5666666667,-0.7070083852
,,1.5833333333,-0.6856024498
,,1.6,-0.6649539909
,,1.6166666667,-0.6451134437
,,1.6333333333,-0.6261277335
,,1.65,-0.608040786
,,1.6666666667,-0.5908938835
,,1.6833333333,-0.5747257526
,,1.7,-0.5595723706
,,1.7166666667,-0.545466563
,,1.7333333333,-0.5324375247
,,1.75,-0.5205104052
,,1.7666666667,-0.5097060645
,,1.7833333333,-0.5000410473
,,1.8,-0.4915277527
,,1.8166666667,-0.4841747275
,,1.8333333333,-0.4779869838
,,1.85,-0.4729662514
,,1.8666666667,-0.4691111105
,,1.8833333333,-0.4664169929
,,1.9,-0.4648760868
,,1.9166666667,-0.4644772059
,,1.9333333333,-0.4652056891
,,1.95,-0.4670433836
,,1.9666666667,-0.4699687337
,,1.9833333333,-0.4739569675
,,2,-0.4789803452
,,2.0166666667,-0.485008424
,,2.0333333333,-0.4920082956
,,2.05,-0.4999447671
,,2.0666666667,-0.5087804814
,,2.0833333333,-0.51847599
,,2.1,-0.5289898078
,,2.1166666667,-0.54027848
,,2.1333333333,-0.552296688
,,2.15,-0.5649974039
,,2.1666666667,-0.5783320901
,,2.1833333333,-0.5922509291
,,2.2,-0.6067030587
,,2.2166666667,-0.6216367933
,,2.2333333333,-0.6369998163
,,2.25,-0.6527393401
,,2.2666666667,-0.6688022409
